timestamp,cpu_percent,memory_usage_mb,memory_percent,net_io,block_io
1753862077,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862081,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862083,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862086,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862089,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862092,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862094,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862097,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862101,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862103,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862106,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862109,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862112,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862114,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862117,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862121,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862123,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862126,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862129,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862132,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862134,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862137,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862141,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862143,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862146,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862149,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862152,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862154,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862157,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862161,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862163,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862166,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862169,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862172,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862174,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862177,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862181,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862183,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862186,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862189,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862192,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862194,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862197,0,198.1,1.27,363MB / 7.65MB,0B / 0B
